matchupId,raceId,date,year,round,raceName,constructorId,winnerDriverId,loserDriverId,winnerPositionOrder,loserPositionOrder,winnerStatus,loserStatus,winnerActual,loserActual
1,833,1950-05-13,1950,1,British Grand Prix,51,642,686,1,3,Finished,Finished,1.0,0.0
2,833,1950-05-13,1950,1,British Grand Prix,51,642,786,1,2,Finished,Finished,1.0,0.0
3,833,1950-05-13,1950,1,British Grand Prix,105,784,778,9,10,+6 Laps,+6 Laps,1.0,0.0
4,833,1950-05-13,1950,1,British Grand Prix,105,784,788,9,10,+6 Laps,+6 Laps,1.0,0.0
5,833,1950-05-13,1950,1,British Grand Prix,151,619,787,6,7,+3 Laps,+3 Laps,1.0,0.0
6,833,1950-05-13,1950,1,British Grand Prix,154,704,627,4,5,+2 Laps,+2 Laps,1.0,0.0
7,833,1950-05-13,1950,1,British Grand Prix,154,704,660,4,11,+2 Laps,+6 Laps,1.0,0.0
8,833,1950-05-13,1950,1,British Grand Prix,154,704,741,4,8,+2 Laps,+5 Laps,1.0,0.0
9,834,1950-05-21,1950,2,Monaco Grand Prix,6,647,793,2,4,+1 Lap,+3 Laps,1.0,0.0
10,834,1950-05-21,1950,2,Monaco Grand Prix,105,589,669,3,5,+2 Laps,+5 Laps,1.0,0.0
11,836,1950-06-04,1950,4,Swiss Grand Prix,51,642,786,1,2,Finished,Finished,1.0,0.0
12,836,1950-06-04,1950,4,Swiss Grand Prix,105,669,589,4,9,+2 Laps,+3 Laps,1.0,0.0
13,836,1950-06-04,1950,4,Swiss Grand Prix,105,669,640,4,6,+2 Laps,+2 Laps,1.0,0.0
14,836,1950-06-04,1950,4,Swiss Grand Prix,105,669,697,4,5,+2 Laps,+2 Laps,1.0,0.0
15,836,1950-06-04,1950,4,Swiss Grand Prix,105,669,780,4,11,+2 Laps,+7 Laps,1.0,0.0
16,836,1950-06-04,1950,4,Swiss Grand Prix,105,669,800,4,7,+2 Laps,+3 Laps,1.0,0.0
17,836,1950-06-04,1950,4,Swiss Grand Prix,154,627,501,3,8,+1 Lap,+3 Laps,1.0,0.0
18,836,1950-06-04,1950,4,Swiss Grand Prix,154,627,660,3,10,+1 Lap,+4 Laps,1.0,0.0
19,837,1950-06-18,1950,5,Belgian Grand Prix,6,647,633,5,6,+1 Lap,+2 Laps,1.0,0.0
20,837,1950-06-18,1950,5,Belgian Grand Prix,51,579,642,1,4,Finished,Finished,1.0,0.0
21,837,1950-06-18,1950,5,Belgian Grand Prix,51,579,786,1,2,Finished,Finished,1.0,0.0
22,837,1950-06-18,1950,5,Belgian Grand Prix,154,627,660,3,8,Finished,+3 Laps,1.0,0.0
